Course/exam,TermCD,SchoolYear,CourseSchoolDBN,Table,CourseTitle,Mark,Mark,NumericEquivalent,Credits,CreditEarned,CreditEarned,Term Average Display,Credits Total,Credit Earned Total,Credits Average,StudentID,Credits Total,Credit Earned Total,Cumulative Term Average1,Credits Average
Course,1,2016,30Q258,EES85,ENGLISH 11 1 OF 2,80, ,80,1,0,1,,,,,,,,,
Course,1,2016,30Q258,HGS41,GLOBAL STUDIES 9 1 O,84, ,84,1,0,1,,,,,,,,,
Course,1,2016,30Q258,HGS42,GLOBAL STUDIES 9 2 O,84, ,84,1,0,1,,,,,,,,,
Course,1,2016,30Q258,MGS21,CC Geometry 1 of 2,86, ,86,1,0,1,,,,,,,,,
Course,1,2016,30Q258,PPS83,PHYS ED,93, ,93,0.5,0,0.5,,,,,,,,,
Course,1,2016,30Q258,SCS21,CHEMISTRY 1 OF 2,85, ,85,1,0,1,,,,,,,,,
Course,1,2016,30Q258,SCS21QL,CHEMISTRY LAB 1 OF 2,P,*,,0,0,0,,,,,,,,,
Course,1,2016,30Q258,SQS11T,Engineering Design P,87, ,87,1,0,1,85,6.5,6.5,6.5,,,,,
Course,2,2015,30Q258,EES83,ENGLISH 10 1 OF 2,75, ,75,1,0,1,,,,,,,,,
Course,2,2015,30Q258,EES84,ENGLISH 10 2 OF 2,75, ,75,1,0,1,,,,,,,,,
Course,2,2015,30Q258,MES22,INTEGRATED ALGEBRA 2,92, ,92,1,0,1,,,,,,,,,
Course,2,2015,30Q258,MKS11,COMPUTER PROGRAMMING,90, ,90,1,0,1,,,,,,,,,
Course,2,2015,30Q258,MQS11P,Math Lab,75,*,75,0,0,0,,,,,,,,,
Course,2,2015,30Q258,PHS22,HEALTH 2 of 2,98, ,98,0.5,0,0.5,,,,,,,,,
Course,2,2015,30Q258,PPS82,PHYS ED,95, ,95,0.5,0,0.5,,,,,,,,,
Course,2,2015,30Q258,SLS22,LIVING ENV 2 OF 2,78, ,78,1,0,1,,,,,,,,,
Course,2,2015,30Q258,SLS22QL,LIVING ENV LAB 2 OF ,CR,*,,0,0,0,,,,,,,,,
Course,2,2015,30Q258,SQS21T,ENGINEERING FOUNDATI,71, ,71,1,0,1,82.5,7,7,7,,,,,
Course,1,2015,30Q258,ANS21,STUDIO ART I 1 of 2,83, ,83,1,0,1,,,,,,,,,
Course,1,2015,30Q258,EES81,ENGLISH 9 1 OF 2,72, ,72,1,0,1,,,,,,,,,
Course,1,2015,30Q258,EES82,ENGLISH 9 2 OF 2,72, ,72,1,0,1,,,,,,,,,
Course,1,2015,30Q258,GAS21,Freshman Seminar,CR,*,,0,0,0,,,,,,,,,
Course,1,2015,30Q258,MES21,INTEGRATED ALGEBRA 1,78, ,78,1,0,1,,,,,,,,,
Course,1,2015,30Q258,PHS21,HEALTH 1 of 2,95, ,95,0.5,0,0.5,,,,,,,,,
Course,1,2015,30Q258,PPS81,PHYS ED,88, ,88,0.5,0,0.5,,,,,,,,,
Course,1,2015,30Q258,RZS21T,WORK BASED LEARNING ,97, ,97,1,0,1,,,,,,,,,
Course,1,2015,30Q258,SLS21,LIVING ENV 1 OF 2,79, ,79,1,0,1,,,,,,,,,
Course,1,2015,30Q258,SLS21QL,LIVING ENV 1 LAB 1 O,CR,*,,0,0,0,81.78571429,7,7,7,,,,,
Exam  ,2,2018,30Q258,FXTSE ,SPANISH LOTE,90, ,90,0,0,0,,0,0,0,,,,,
