ID,Gender,MP1,MP2,MP3,MP4,Regents Score,Course,Race
220826358,M,75.65,59.83,69.09,69.09,58,alg1,Hispanic or Latinx
219851656,M,78.8,75.31,64.57,64.57,58,alg1,Hispanic or Latinx
215706300,M,63.6,55.3,63.65,63.65,58,geometry,Hispanic or Latinx
215883950,F,96.18,90.04,87.73,87.74,58,earth,Hispanic or Latinx
208536409,M,55.23,64.74,64.74,64.74,59,ush,Black
215430869,M,70.25,65.46,64.93,64.93,59,ush,Hispanic or Latinx
209001254,M,76.67,75.12,70.2,70.2,59,ush,Hispanic or Latinx
215848680,M,62.81,71.32,72.88,72.88,59,chemistry,Asian
219626835,F,87.47,89.71,89.27,89.27,59,chemistry,Hispanic or Latinx
214643397,M,70.17,67.16,68.34,68.34,59,ela,Black
209094366,M,57.46,56.86,56.07,56.07,59,ela,
215615204,M,79.87,81.85,79.24,79.24,59,ela,Hispanic or Latinx
215364704,M,63.31,67.94,68.14,68.14,59,ela,Hispanic or Latinx
217443183,F,70.27,74.4,73.53,73.53,59,ela,Hispanic or Latinx
207603051,M,91.83,78.49,80.14,80.14,59,alg2,
216211797,M,82.58,42.62,54.13,54.13,59,alg2,Hispanic or Latinx
215266784,M,77.2,70.75,64.54,64.54,60,ush,Native Hawaiian or Pacific Islander
213554868,M,74.83,76.48,69.52,69.52,60,ush,Hispanic or Latinx
217443183,F,65.57,66.58,69.3,69.3,60,global,Hispanic or Latinx
208813469,M,80.05,83.45,86.3,86.3,60,physics,Hispanic or Latinx
217108224,M,67.9,74,71.81,71.81,60,geometry,Asian
216211797,M,66.26,63.05,57.42,57.42,60,earth,Hispanic or Latinx
208652768,F,84.78,81.8,82.76,82.76,61,chemistry,White
208517334,M,78.73,77.38,77.61,77.61,61,chemistry,Hispanic or Latinx
214629040,M,89.29,86.16,84.51,84.51,61,chemistry,Hispanic or Latinx
208764845,M,78.15,80.2,79.6,79.6,61,chemistry,White
214676892,M,67.95,66.96,66.38,66.38,61,ela,Hispanic or Latinx
240873893,M,70.27,71.88,74.19,74.19,61,ela,Asian
214649048,F,84.85,90.63,95.51,95.51,61,physics,Hispanic or Latinx
216046219,M,82.26,77.45,83.22,83.22,61,alg1,American Indian or Alaskan Native
215767948,M,66.65,66.77,66.72,66.72,61,alg1,
208536409,M,58.55,68.34,63.43,63.43,61,alg1,Black
244846432,M,65.05,64.57,66.19,66.19,61,geometry,Black
215788936,M,57,53.4,54.72,54.72,61,geometry,Hispanic or Latinx
216993816,M,66.25,72.25,70.18,70.18,61,geometry,Hispanic or Latinx
215792474,M,77.95,68.6,70.58,70.58,61,geometry,Black
215867169,M,88.75,80.67,79.05,79.05,61,geometry,Asian or Pacific Islander
209097120,F,91.42,78.62,72.8,72.8,61,alg2,Hispanic or Latinx
231712647,M,77.5,70.06,69.73,69.73,61,alg2,Black
214583395,F,88,73.78,60.92,60.92,61,alg2,Hispanic or Latinx
214510158,M,66.33,70.73,63.01,63.01,61,alg2,Hispanic or Latinx
207593674,M,65,59.25,56.02,56.02,61,alg2,White
218696755,M,68.67,68.08,63.69,63.69,61,earth,Asian or Pacific Islander
216443549,F,74.52,66.62,68.18,68.22,61,earth,Black
216046219,M,82.04,75.95,77.31,77.31,61,living,American Indian or Alaskan Native
214708513,F,73.86,69.35,73.02,73.02,61,living,Hispanic or Latinx
220230825,M,59.26,59.55,65.17,65.17,61,living,
205740780,F,53.5,55.91,55.5,55.5,62,ush,Hispanic or Latinx
214664377,M,88,84.15,83.21,83.21,62,chemistry,Hispanic or Latinx
217767607,F,89.17,90.26,88.49,88.49,62,chemistry,Hispanic or Latinx
206547598,M,62.64,61.27,59.82,59.82,62,global,Hispanic or Latinx
240873893,M,67.83,67.68,63.13,63.13,62,global,Asian
215457441,M,67.6,62.07,61.65,61.65,62,geometry,Hispanic or Latinx
215390063,M,82.9,77.37,76.43,76.43,62,geometry,Hispanic or Latinx
218262566,F,86,82.24,65.55,65.55,62,alg2,Black
215848680,M,70.17,57.37,59.29,59.29,62,alg2,Asian
208886945,M,83.51,71.94,67.02,67.04,62,earth,Asian
219851656,M,60.6,58.76,54.84,54.84,62,living,Hispanic or Latinx
220272256,M,77.17,74.97,74.86,74.86,62,living,Hispanic or Latinx
215512013,M,59.5,52.6,56.46,56.46,62,living,
208886945,M,79.54,80.47,76.81,76.81,63,ush,Asian
206548968,M,67.21,74.72,74.78,74.78,63,chemistry,Black
214125726,F,97.23,97.46,98.05,98.05,63,chemistry,Hispanic or Latinx
216834234,F,80.42,77.96,77.45,77.45,63,global,Asian
219748233,M,79.62,78.7,75.61,75.61,63,alg1,Hispanic or Latinx
218696755,M,60.5,66,59.88,59.88,63,geometry,Asian or Pacific Islander
215902784,M,54.29,63.33,64.47,64.47,63,geometry,Hispanic or Latinx
214323982,F,64.2,68.9,70.65,70.65,63,geometry,Black
216502716,F,66,67.7,65.17,65.17,63,alg2,Hispanic or Latinx
207350869,M,65.83,55.46,55.22,55.22,63,alg2,Hispanic or Latinx
215009242,F,92.58,84.43,74.53,74.53,63,alg2,Asian or Pacific Islander
209076900,M,84.67,73.27,78.18,78.18,63,alg2,Hispanic or Latinx
220079206,M,96.08,67.68,67.52,67.52,63,alg2,Hispanic or Latinx
